CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
ru-RU,TYPE.CONTEXT_HELP.START_DATETIME,[ru-RU] Datetime,[ru-RU] Datetime,STD,FALSE,NULL,27:02.7,34ab933badd54093ad05bf1faf84207b,NULL,f19acef4367f4c47b87ea5a7ad99e486,NULL,NULL
en-US,TYPE.CONTEXT_HELP.START_DATETIME,Datetime,Datetime,STD,FALSE,NULL,27:02.7,93285da5b0f044309c3a2a789e7bd68b,NULL,8224496f288f4bb1a44d3022a7ef9b7c,NULL,NULL
en-US,TYPE.CONTEXT_HELP.UPDATE_SOURCE,Update Source,Update Source,STD,FALSE,NULL,27:02.7,9bdea5c9ea1c460d9eebabb4007acf29,NULL,6e4c3a7960054f2aaa65be6b31bf35c0,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.UPDATE_SOURCE,[ru-RU] Update Source,[ru-RU] Update Source,STD,FALSE,NULL,27:02.7,2a7241eb37d6456094779b26c56277b2,NULL,4fc4b159fb404a13ab6a9c491f91b0d3,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.VERSION,[ru-RU] Row Version,[ru-RU] Row Version,STD,FALSE,NULL,27:02.7,e58891edcdf742879b00eeda9f23984e,NULL,d0ee05b2407a499fb41cac4d5e68d7a9,NULL,NULL
en-US,TYPE.CONTEXT_HELP.VERSION,Row Version,Row Version,STD,FALSE,NULL,27:02.7,36cb1a24019b466082ccabc7314b4282,NULL,6e9d0d87e25941af8fbef39e3307627d,NULL,NULL
en-US,TYPE.COUNTER_METER,Counter Meter,Counter Meter,STD,FALSE,NULL,27:52.1,a5ae3e48c3b542c496e7bdc62f719836,NULL,534c79f575cc40848131cada1b8590ba,NULL,NULL
ru-RU,TYPE.COUNTER_METER,[ru-RU] Counter Meter,[ru-RU] Counter Meter,STD,FALSE,NULL,27:52.1,116f3c6047954b84981f3da94c407170,NULL,00e0758416294bbfb0b8f856ba2fa496,NULL,NULL
ru-RU,TYPE.COUNTER_METER.MEAS_MET,[ru-RU] Measurement Method,[ru-RU] Measurement Method,STD,FALSE,NULL,27:52.1,08cf2ac731814823a41e2517b4c986aa,NULL,0f24e44d49374ca88679a0c4f90177e5,NULL,NULL
en-US,TYPE.COUNTER_METER.MEAS_MET,Measurement Method,Measurement Method,STD,FALSE,NULL,27:52.1,b995eb35e7784b8e87c9ca57d84799e3,NULL,b922551c5b694716a8ae1b8e7186fcdf,NULL,NULL
en-US,TYPE.COUNTER_METER.ROLLOVER,Rollover Limit,Rollover Limit,STD,FALSE,NULL,27:52.1,f27718c2dfbe4a41b5994adaa3ad9664,NULL,928f2732cd0f439e947892d56a98efac,NULL,NULL
ru-RU,TYPE.COUNTER_METER.ROLLOVER,[ru-RU] Rollover Limit,[ru-RU] Rollover Limit,STD,FALSE,NULL,27:52.1,33ce2692d70b4410ac469b3e906621bc,NULL,886e9dc721a441a58dd969505f4c2510,NULL,NULL
